internal_id,Award ID,Recipient Name,Start Date,End Date,Award Amount,action_date,generated_internal_id
342273834,SPM4A710MB261,"HELICOMB INTERNATIONAL, INC.",2010-05-04,2011-07-28,272606.36,,CONT_AWD_SPM4A710MB261_9700_-NONE-_-NONE-
337188875,SPE7L124F5843,FN HERSTAL,2024-04-04,2025-04-29,272508.3,,CONT_AWD_SPE7L124F5843_9700_SPE7LX20D0224_9700
298167535,FA480922F0068,SOUTHERN MANAGEMENT INC,2022-08-16,2023-06-15,272257.38,,CONT_AWD_FA480922F0068_9700_FA480921D0005_9700
291160853,7064,RAYTHEON COMPANY,2017-05-16,2019-10-15,271538.88,,CONT_AWD_7064_9700_N0038313G005D_9700
340911700,SPE8EC21F0185,"GLOBE TRAILER MANUFACTURING, INC",2020-11-03,2021-08-27,270608.92,,CONT_AWD_SPE8EC21F0185_9700_SPE8EC19D0039_9700
348042808,VA25113F0045,"OMNICELL, INC.",2012-10-01,2013-09-30,270579.72,,CONT_AWD_VA25113F0045_3600_V797P4313A_3600
274138132,0069,"LOCKHEED MARTIN SERVICES, LLC",2009-08-25,2010-06-30,270101.54,,CONT_AWD_0069_9700_SP470108A0008_9700
290254452,5002,TIME WARNER CABLE COMPANY,2010-10-01,2011-09-30,270057.64,,CONT_AWD_5002_9700_FA302008D0002_9700
349144375,W81XWH08P0743,"CORNERSTONE, INC.",2008-09-22,2011-09-21,270000.0,,CONT_AWD_W81XWH08P0743_9700_-NONE-_-NONE-
343900730,V200J86106,NORTHROP GRUMMAN SYSTEMS CORPORATION,2007-10-01,2008-09-30,269597.07,,CONT_AWD_V200J86106_3600_V200P909_3600
276444139,0722,NORTH ISLAND,2009-09-25,2009-12-24,269000.0,,CONT_AWD_0722_9700_N4008008D0305_9700
276577664,0805,"CACI NSS, LLC",2009-09-21,2010-10-19,268735.04,,CONT_AWD_0805_9700_USZA2202D0017_9700
350310191,W91B4L10P1471,FOREIGN AWARDEES (UNDISCLOSED),2010-08-18,2010-08-18,268500.0,,CONT_AWD_W91B4L10P1471_9700_-NONE-_-NONE-
298223430,FA488709C0042,SHAWNEE PACIFIC CONSTRUCTION CORP.,2009-09-14,2010-01-13,268483.0,,CONT_AWD_FA488709C0042_9700_-NONE-_-NONE-
292977903,AG9702C110001,"CAROLINA GROUND SERVICES, L.L.C.",2011-03-15,2012-06-30,268380.0,,CONT_AWD_AG9702C110001_12C2_-NONE-_-NONE-
272738635,0007,ENERSYS ENERGY PRODUCTS INC.,2008-03-17,2008-06-16,268370.0,,CONT_AWD_0007_9700_SPM43004D1145_9700
292363370,A539,"HOSPIRA, INC.",2009-08-28,2009-11-29,268337.0,,CONT_AWD_A539_9700_SPM20005D7703_9700
316175343,SPE2D825F01H8,AMERISOURCEBERGEN DRUG CORP,2024-10-25,2024-10-28,268025.59,,CONT_AWD_SPE2D825F01H8_9700_SPE2DX22D0069_9700
349049518,W56HZV20F0301,AVON PROTECTION SYSTEMS INCORPORATED,2020-05-05,2021-02-24,267973.0,,CONT_AWD_W56HZV20F0301_9700_SPRDL116D0067_9700
313276095,SPE1C120F7687,"ROCKY BRANDS, INC.",2020-08-27,2020-12-28,267464.1,,CONT_AWD_SPE1C120F7687_9700_SPE1C116D1040_9700
278644833,191BWC25F0061,CATERPILLAR INC,2025-08-12,2026-06-30,267129.0,,CONT_AWD_191BWC25F0061_19BM_GS30F0018U_4730
306553431,HE125421F2026,EUROBUSSING BRUSSELS,2021-02-01,2021-07-31,267021.15,,CONT_AWD_HE125421F2026_9700_HE125419D2029_9700
334753121,SPE60224FZ755,PHILLIPS 66 COMPANY,2024-05-02,2024-05-11,266126.02,,CONT_AWD_SPE60224FZ755_9700_SPE60224D0468_9700
276123583,0556,RAYTHEON COMPANY,2009-07-30,2009-07-30,265958.0,,CONT_AWD_0556_9700_SPM50005DBP22_9700
306422228,HC101318FG319,MCI COMMUNICATIONS SERVICES LLC,2018-09-01,2020-10-31,265090.19,,CONT_AWD_HC101318FG319_9700_GS00T07NSD0038_4735
307318669,HS110011,ZF MARINE PROPULSION SYSTEMS MIRAMAR LLC,2011-01-28,2013-05-17,265000.72,,CONT_AWD_HS110011_7008_HSCG4006D60026_7008
278005150,157C,SUPREME FOODSERVICE GMBH,2008-06-05,2008-06-06,264154.0,,CONT_AWD_157C_9700_SPM30008D3153_9700
310524922,N4008419F4499,NIKKAI CORPORATION,2019-06-28,2020-06-30,264101.86,,CONT_AWD_N4008419F4499_9700_N4008418D0408_9700
350303577,W91B4K11C3107,MISCELLANEOUS FOREIGN AWARDEES,2011-08-24,2013-04-08,264005.09,,CONT_AWD_W91B4K11C3107_9700_-NONE-_-NONE-
345358850,V583C80009B,INDIANA UNIVERSITY,2007-12-01,2007-12-31,262872.58,,CONT_AWD_V583C80009B_3600_V583P3173_3600
350741528,Y8RY,ROLLS-ROYCE CORPORATION,2010-07-26,2011-05-30,262763.56,,CONT_AWD_Y8RY_9700_F3460101D0155_9700
340428347,SPE8E320FJ9XB,SUPPLYCORE LLC,2020-04-02,2020-12-21,261515.91,,CONT_AWD_SPE8E320FJ9XB_9700_SPE8E320D0001_9700
306907290,HHSN26300014,NATIONAL ACADEMY OF SCIENCES,2012-09-20,2015-09-29,261269.37,,CONT_AWD_HHSN26300014_7529_HHSN263201200074I_7529
276415436,06XS,ANHAM FZCO,2014-05-25,2014-06-03,260673.55,,CONT_AWD_06XS_9700_SPM30012D3572_9700
276322978,0664,"CACI NSS, LLC",2008-09-24,2009-09-23,260499.9,,CONT_AWD_0664_9700_USZA2202D0017_9700
273679572,0037,"PEER CONSULTANTS, P.C.",2008-09-26,2011-06-26,260463.11,,CONT_AWD_0037_9700_DAHA9201D0004_9700
349133028,W81K0418F0058,"SOLVENTUM HEALTH INFORMATION SYSTEMS, INC.",2018-09-26,2019-09-25,260400.0,,CONT_AWD_W81K0418F0058_9700_W81K0418D0028_9700
305371090,GSRPNNCC0289,"CHRYSLER GROUP, LLC, THE",2009-03-26,2009-06-24,260359.0,,CONT_AWD_GSRPNNCC0289_4730_GS30FR0007_4730
309631380,N0010417CDA07,"ECI DEFENSE GROUP, INC.",2016-12-07,2017-12-27,260205.4,,CONT_AWD_N0010417CDA07_9700_-NONE-_-NONE-
290561868,54E2,SUPREME FOODSERVICE GMBH,2009-12-10,2009-12-23,259965.0,,CONT_AWD_54E2_9700_SPM30008D3153_9700
278299526,15JC1V24P00000115,ABRAHAM ANDREW,2024-01-01,2024-12-31,259480.0,,CONT_AWD_15JC1V24P00000115_1501_-NONE-_-NONE-
348308945,VA26116P0008,CITY OF RENO,2015-10-01,2017-09-30,259419.0,,CONT_AWD_VA26116P0008_3600_-NONE-_-NONE-
290213992,4959,AGILITY PUBLIC WAREHOUSING COM PANY (K.S.C.P),2009-11-17,2009-11-26,259376.0,,CONT_AWD_4959_9700_SPM30008D3196_9700
275324289,027S,MCKESSON CORPORATION,2015-04-23,2015-04-24,259031.68,,CONT_AWD_027S_9700_SPM2DX13D1000_9700
275553904,0325,GENERAL ELECTRIC COMPANY,2011-10-17,2012-10-16,259014.0,,CONT_AWD_0325_9700_SPM2D109D8325_9700
272733319,0007,SEQIRUS USA INC,2015-10-28,2015-11-30,259000.0,,CONT_AWD_0007_9700_SPE2DP15D0004_9700
305580456,GSRPNNKY2256,"FARBER SPECIALTY VEHICLES, INC",2016-09-20,2017-03-19,258905.0,,CONT_AWD_GSRPNNKY2256_4732_GS30F0008N_4730
343105831,SPMYM124P1468,"EQUIPMENT RESOURCE CENTER, INC.",2024-09-26,2024-11-26,257101.5,,CONT_AWD_SPMYM124P1468_9700_-NONE-_-NONE-
281042288,47PG0222F0037,STRATA ARCHITECTURE INC.,2022-05-06,2025-04-16,257070.95,,CONT_AWD_47PG0222F0037_4740_47PG0221D0005_4740
310756061,N6247820F4245,CONCEPT 2 COMPLETION LLC,2020-08-17,2021-05-15,257023.0,,CONT_AWD_N6247820F4245_9700_N6247819D4030_9700
349982368,W912JY17P0009,FOCUS CAMERA LLC,2017-09-28,2017-10-31,256970.0,,CONT_AWD_W912JY17P0009_9700_-NONE-_-NONE-
297531754,EP5006,"BHS SERVICES, INC.",2009-10-01,2010-09-30,255838.16,,CONT_AWD_EP5006_6800_EPD05085_6800
273264021,0019,"CLEMONS ELECTRIC, INC.",2010-12-17,2011-06-21,254609.1,,CONT_AWD_0019_9700_N6247310D3802_9700
273157285,0015,"THE LOUIS BERGER GROUP, INC.",2009-09-21,2012-03-31,254208.0,,CONT_AWD_0015_9700_W912DQ08D0017_9700
277341761,1233RK21M3622,"J3 CONTRACTING, INC.",2021-09-01,2021-10-03,254097.0,,CONT_AWD_1233RK21M3622_12C2_1204H119T7232_12C2
