start_date,end_date,recipient_name,amount
2024-10-22,2024-10-31,STONEX FINANCIAL LTD,4279735.17
2009-09-25,2010-12-17,"CHUGACH GOVERNMENT SERVICES, INC.",4254740.25
2015-06-30,2017-01-21,ENGILITY LLC,4062157.59
2011-10-01,2014-02-19,WASHINGTON-HARRIS GROUP INC.,4057426.28
2021-05-20,2022-04-19,SAWTST LLC,4049654.65
2016-09-30,2018-04-05,"BRISTOL GENERAL CONTRACTORS, LLC",4044784.54
2019-10-01,2020-12-31,"PROJECT SUPPORT SERVICES, INC.",4028684.1
2019-12-02,2019-12-16,BP PRODUCTS NORTH AMERICA INC.,4025364.0
2021-07-01,2021-09-30,WESTERN GLOBAL AIRLINES INC,4007315.81
2015-09-08,2015-09-18,"COINS 'N THINGS, INC.",4002477.66
2025-07-01,2026-06-30,"KEYSTONE OCEAN SERVICES, INC.",4000000.0
2007-09-21,2009-08-19,"KRATOS DEFENSE & ROCKET SUPPORT SERVICES, INC.",3999999.0
2013-09-13,2014-09-12,"CASK TECHNOLOGIES, LLC",3999996.0
2016-08-05,2019-06-29,KOKUA SUPPORT SERVICES CORPORATION,3997860.54
2023-08-01,2026-07-31,BEACON POINT ASSOCIATES LLC,3967718.0
2015-05-22,2018-12-31,THE LELAND STANFORD JUNIOR UNIVERSITY,3960789.0
2019-05-28,2024-05-27,CONSTELLATION INC,3955578.0
2021-10-15,2024-04-30,KONIAG MANAGEMENT SOLUTIONS LLC,3894730.92
2020-10-01,2025-09-30,"CHUGACH CONSOLIDATED SOLUTIONS, LLC",3891335.95
2021-11-26,2021-12-03,STONEX FINANCIAL LTD,3825378.86
2012-07-02,2017-09-30,"RISK ASSESSMENT, MAPPING, AND PLANNING PARTNERS (RAMP-P)",3811481.1
2009-09-25,2011-11-27,CLIENT/SERVER SOFTWARE SOLUTIONS INC,3779745.12
2025-03-24,2025-08-26,BRICE CIVIL CONSTRUCTORS INC,3779702.9
2018-11-30,2018-11-30,FARRELL LINES INCORPORATED,3776876.04
2011-05-01,2018-05-31,"DELTA BUILDING SERVICES, INC.",3773903.03
